neighborhood,occur_year,occur_count
Dixie Hills,2016,153
Dixie Hills,2017,120
Dixie Hills,2018,135
Dixie Hills,2019,97
Dixie Hills,2020,55
Dixie Hills,2021,75
Dixie Hills,2022,24
Downtown,2009,3152
Downtown,2010,2578
Downtown,2011,2659
Downtown,2012,2203
Downtown,2013,2342
Downtown,2014,2386
Downtown,2015,2259
Downtown,2016,1821
Downtown,2017,1814
Downtown,2018,2125
Downtown,2019,2003
Downtown,2020,2072
Downtown,2021,1693
Downtown,2022,398
Druid Hills,2009,40
Druid Hills,2010,27
Druid Hills,2011,28
Druid Hills,2012,40
Druid Hills,2013,39
Druid Hills,2014,33
Druid Hills,2015,49
Druid Hills,2016,26
Druid Hills,2017,32
Druid Hills,2018,45
Druid Hills,2019,30
Druid Hills,2020,35
Druid Hills,2021,30
Druid Hills,2022,7
East Ardley Road,2009,6
East Ardley Road,2010,3
East Ardley Road,2011,2
East Ardley Road,2012,5
East Ardley Road,2013,3
East Ardley Road,2014,8
East Ardley Road,2015,4
East Ardley Road,2016,5
East Ardley Road,2017,4
East Ardley Road,2018,7
East Ardley Road,2019,7
East Ardley Road,2020,1
East Ardley Road,2021,1
East Ardley Road,2022,1
East Atlanta,2009,554
East Atlanta,2010,472
East Atlanta,2011,385
East Atlanta,2012,397
East Atlanta,2013,421
East Atlanta,2014,331
East Atlanta,2015,316
East Atlanta,2016,294
East Atlanta,2017,311
East Atlanta,2018,256
East Atlanta,2019,233
East Atlanta,2020,199
East Atlanta,2021,194
East Atlanta,2022,65
East Chastain Park,2009,78
East Chastain Park,2010,77
East Chastain Park,2011,44
East Chastain Park,2012,54
East Chastain Park,2013,47
East Chastain Park,2014,40
East Chastain Park,2015,35
East Chastain Park,2016,39
East Chastain Park,2017,38
East Chastain Park,2018,58
East Chastain Park,2019,56
East Chastain Park,2020,95
East Chastain Park,2021,50
East Chastain Park,2022,11
East Lake,2009,196
East Lake,2010,146
East Lake,2011,176
East Lake,2012,159
East Lake,2013,156
East Lake,2014,132
East Lake,2015,135
East Lake,2016,172
East Lake,2017,158
East Lake,2018,116
East Lake,2019,116
East Lake,2020,90
East Lake,2021,104
East Lake,2022,18
Edgewood,2009,581
Edgewood,2010,423
Edgewood,2011,522
Edgewood,2012,554
Edgewood,2013,530
Edgewood,2014,499
Edgewood,2015,479
Edgewood,2016,374
Edgewood,2017,449
Edgewood,2018,370
Edgewood,2019,388
Edgewood,2020,292
Edgewood,2021,203
Edgewood,2022,29
Edmund Park,2016,2
Edmund Park,2017,2
Edmund Park,2018,2
Edmund Park,2019,1
Elmco Estates,2009,11
Elmco Estates,2010,28
Elmco Estates,2011,29
Elmco Estates,2012,24
Elmco Estates,2013,18
Elmco Estates,2014,10
Elmco Estates,2015,21
Elmco Estates,2016,30
Elmco Estates,2017,17
Elmco Estates,2018,15
Elmco Estates,2019,19
Elmco Estates,2020,8
Elmco Estates,2021,3
Elmco Estates,2022,2
Englewood Manor,2009,1
Englewood Manor,2011,1
English Avenue,2009,615
English Avenue,2010,423
English Avenue,2011,468
English Avenue,2012,458
English Avenue,2013,463
English Avenue,2014,306
English Avenue,2015,293
English Avenue,2016,260
English Avenue,2017,283
English Avenue,2018,246
English Avenue,2019,226
English Avenue,2020,299
English Avenue,2021,349
English Avenue,2022,76
English Park,2009,14
English Park,2010,23
English Park,2011,16
English Park,2012,12
English Park,2013,15
English Park,2014,12
English Park,2015,15
English Park,2016,27
English Park,2017,23
English Park,2018,13
English Park,2019,10
English Park,2020,8
English Park,2021,19
English Park,2022,3
Fairburn,2009,56
Fairburn,2010,42
Fairburn,2011,30
Fairburn,2012,20
Fairburn,2013,29
Fairburn,2014,20
Fairburn,2015,25
Fairburn,2016,32
Fairburn,2017,25
Fairburn,2018,31
Fairburn,2019,12
Fairburn,2020,16
Fairburn,2021,4
Fairburn,2022,2
Fairburn Heights,2009,72
Fairburn Heights,2010,83
Fairburn Heights,2011,82
Fairburn Heights,2012,91
Fairburn Heights,2013,87
Fairburn Heights,2014,76
Fairburn Heights,2015,64
Fairburn Heights,2016,73
Fairburn Heights,2017,55
Fairburn Heights,2018,31
Fairburn Heights,2019,25
Fairburn Heights,2020,25
Fairburn Heights,2021,18
Fairburn Heights,2022,3
Fairburn Mays,2009,222
Fairburn Mays,2010,204
Fairburn Mays,2011,181
Fairburn Mays,2012,194
Fairburn Mays,2013,139
Fairburn Mays,2014,164
Fairburn Mays,2015,124
Fairburn Mays,2016,157
Fairburn Mays,2017,117
Fairburn Mays,2018,94
Fairburn Mays,2019,91
Fairburn Mays,2020,69
Fairburn Mays,2021,87
Fairburn Mays,2022,18
Fairburn Road/Wisteria Lane,2009,13
Fairburn Road/Wisteria Lane,2010,8
Fairburn Road/Wisteria Lane,2011,7
Fairburn Road/Wisteria Lane,2012,10
Fairburn Road/Wisteria Lane,2013,9
Fairburn Road/Wisteria Lane,2014,5
Fairburn Road/Wisteria Lane,2015,5
Fairburn Road/Wisteria Lane,2016,4
Fairburn Road/Wisteria Lane,2017,7
Fairburn Road/Wisteria Lane,2018,6
Fairburn Road/Wisteria Lane,2019,3
Fairburn Road/Wisteria Lane,2020,4
Fairburn Road/Wisteria Lane,2021,3
Fairburn Tell,2009,8
Fairburn Tell,2010,7
Fairburn Tell,2011,15
Fairburn Tell,2012,7
Fairburn Tell,2013,5
Fairburn Tell,2014,8
Fairburn Tell,2015,5
Fairburn Tell,2016,5
Fairburn Tell,2017,2
Fairburn Tell,2018,4
Fairburn Tell,2019,5
Fairburn Tell,2020,4
Fairburn Tell,2021,8
Fairway Acres,2009,10
Fairway Acres,2010,23
Fairway Acres,2011,30
Fairway Acres,2012,10
Fairway Acres,2013,14
Fairway Acres,2014,12
Fairway Acres,2015,6
Fairway Acres,2016,12
Fairway Acres,2017,6
Fairway Acres,2018,6
Fairway Acres,2019,6
Fairway Acres,2020,2
Fairway Acres,2021,7
Fernleaf,2009,8
Fernleaf,2011,2
Fernleaf,2012,2
Fernleaf,2013,2
Fernleaf,2014,6
Fernleaf,2015,1
Fernleaf,2016,4
Fernleaf,2017,6
Fernleaf,2018,6
Fernleaf,2020,1
Florida Heights,2009,182
Florida Heights,2010,157
Florida Heights,2011,199
Florida Heights,2012,179
Florida Heights,2013,184
Florida Heights,2014,220
Florida Heights,2015,154
Florida Heights,2016,126
Florida Heights,2017,97
Florida Heights,2018,106
Florida Heights,2019,112
Florida Heights,2020,63
Florida Heights,2021,64
Florida Heights,2022,11
Fort McPherson,2009,4
Fort McPherson,2010,4
Fort McPherson,2011,1
Fort McPherson,2012,3
Fort McPherson,2013,2
Fort McPherson,2014,4
Fort McPherson,2015,4
Fort McPherson,2016,1
Fort McPherson,2017,2
Fort McPherson,2018,3
Fort McPherson,2019,4
Fort McPherson,2021,2
Fort McPherson,2022,2
Fort Valley,2009,52
Fort Valley,2010,43
Fort Valley,2011,59
Fort Valley,2012,52
Fort Valley,2013,41
Fort Valley,2014,51
Fort Valley,2015,46
Fort Valley,2016,28
Fort Valley,2017,37
Fort Valley,2018,15
Fort Valley,2019,26
Fort Valley,2020,11
Fort Valley,2021,6
Fort Valley,2022,5
Garden Hills,2009,134
Garden Hills,2010,136
Garden Hills,2011,130
Garden Hills,2012,110
Garden Hills,2013,114
Garden Hills,2014,127
Garden Hills,2015,113
Garden Hills,2016,110
Garden Hills,2017,133
Garden Hills,2018,151
Garden Hills,2019,157
Garden Hills,2020,174
Garden Hills,2021,102
Garden Hills,2022,18
Georgia Tech,2009,9
Georgia Tech,2010,4
Georgia Tech,2011,5
Georgia Tech,2012,7
Georgia Tech,2013,7
Georgia Tech,2014,8
Georgia Tech,2015,5
Georgia Tech,2016,4
Georgia Tech,2017,2
Georgia Tech,2018,5
Georgia Tech,2019,4
Georgia Tech,2020,2
Georgia Tech,2021,1
Glenrose Heights,2009,400
Glenrose Heights,2010,352
Glenrose Heights,2011,395
Glenrose Heights,2012,394
Glenrose Heights,2013,364
Glenrose Heights,2014,383
Glenrose Heights,2015,308
Glenrose Heights,2016,276
Glenrose Heights,2017,211
Glenrose Heights,2018,155
Glenrose Heights,2019,162
Glenrose Heights,2020,143
Glenrose Heights,2021,125
Glenrose Heights,2022,36
Grant Park,2009,570
Grant Park,2010,602
Grant Park,2011,563
Grant Park,2012,516
Grant Park,2013,540
Grant Park,2014,526
Grant Park,2015,424
Grant Park,2016,441
Grant Park,2017,352
Grant Park,2018,357
Grant Park,2019,391
Grant Park,2020,278
Grant Park,2021,315
Grant Park,2022,81
Green Acres Valley,2009,7
Green Acres Valley,2010,3
Green Acres Valley,2011,1
Green Acres Valley,2012,1
Green Acres Valley,2013,5
Green Acres Valley,2014,6
Green Acres Valley,2015,10
Green Acres Valley,2016,5
Green Acres Valley,2017,5
Green Acres Valley,2018,2
Green Acres Valley,2019,5
Green Acres Valley,2020,4
Green Acres Valley,2021,2
Green Forest Acres,2009,6
Green Forest Acres,2010,14
Green Forest Acres,2011,17
Green Forest Acres,2012,16
Green Forest Acres,2013,20
Green Forest Acres,2014,33
Green Forest Acres,2015,27
Green Forest Acres,2016,15
Green Forest Acres,2017,7
Green Forest Acres,2018,6
Green Forest Acres,2019,9
Green Forest Acres,2020,4
Green Forest Acres,2021,4
Green Forest Acres,2022,2
Greenbriar,2009,649
Greenbriar,2010,562
Greenbriar,2011,543
Greenbriar,2012,556
Greenbriar,2013,576
Greenbriar,2014,522
Greenbriar,2015,417
Greenbriar,2016,522
Greenbriar,2017,424
Greenbriar,2018,377
Greenbriar,2019,333
Greenbriar,2020,235
Greenbriar,2021,255
Greenbriar,2022,60
Greenbriar Village,2009,17
Greenbriar Village,2010,7
Greenbriar Village,2011,4
Greenbriar Village,2012,8
Greenbriar Village,2013,4
Greenbriar Village,2014,5
Greenbriar Village,2015,9
Greenbriar Village,2016,9
Greenbriar Village,2017,10
Greenbriar Village,2018,4
Greenbriar Village,2019,7
Greenbriar Village,2020,5
Greenbriar Village,2021,3
Grove Park,2009,630
Grove Park,2010,579
Grove Park,2011,672
Grove Park,2012,594
Grove Park,2013,533
Grove Park,2014,436
Grove Park,2015,422
Grove Park,2016,395
Grove Park,2017,329
Grove Park,2018,336
Grove Park,2019,284
Grove Park,2020,237
Grove Park,2021,200
Grove Park,2022,35
Hammond Park,2009,255
Hammond Park,2010,283
Hammond Park,2011,272
Hammond Park,2012,230
Hammond Park,2013,256
Hammond Park,2014,287
Hammond Park,2015,240
Hammond Park,2016,200
Hammond Park,2017,171
Hammond Park,2018,146
Hammond Park,2019,157
Hammond Park,2020,133
Hammond Park,2021,108
Hammond Park,2022,27
Hanover West,2009,4
Hanover West,2010,7
Hanover West,2011,5
Hanover West,2012,3
Hanover West,2013,7
Hanover West,2014,4
Hanover West,2015,3
Hanover West,2016,7
Hanover West,2017,5
Hanover West,2018,4
Hanover West,2019,6
Hanover West,2020,3
Harland Terrace,2009,400
Harland Terrace,2010,265
Harland Terrace,2011,281
Harland Terrace,2012,292
Harland Terrace,2013,239
Harland Terrace,2014,267
Harland Terrace,2015,279
Harland Terrace,2016,202
Harland Terrace,2017,218
Harland Terrace,2018,177
Harland Terrace,2019,174
Harland Terrace,2020,173
Harland Terrace,2021,166
Harland Terrace,2022,36
Harris Chiles,2009,95
Harris Chiles,2010,89
Harris Chiles,2011,89
Harris Chiles,2012,93
Harris Chiles,2013,96
Harris Chiles,2014,96
Harris Chiles,2015,101
Harris Chiles,2016,72
Harris Chiles,2017,65
Harris Chiles,2018,63
Harris Chiles,2019,47
Harris Chiles,2020,33
Harris Chiles,2021,44
Harris Chiles,2022,7
Harvel Homes Community,2009,4
Harvel Homes Community,2010,6
Harvel Homes Community,2011,3
Harvel Homes Community,2012,3
Harvel Homes Community,2013,5
Harvel Homes Community,2014,4
Harvel Homes Community,2015,6
Harvel Homes Community,2016,10
Harvel Homes Community,2017,4
Harvel Homes Community,2018,5
Harvel Homes Community,2019,3
Harvel Homes Community,2020,1
Harvel Homes Community,2021,2
Harvel Homes Community,2022,1
Heritage Valley,2009,31
Heritage Valley,2010,28
Heritage Valley,2011,30
Heritage Valley,2012,15
Heritage Valley,2013,19
Heritage Valley,2014,15
Heritage Valley,2015,35
Heritage Valley,2016,34
Heritage Valley,2017,19
Heritage Valley,2018,21
Heritage Valley,2019,18
Heritage Valley,2020,7
Heritage Valley,2021,4
Heritage Valley,2022,2
High Point,2009,31
High Point,2010,21
High Point,2011,20
High Point,2012,16
High Point,2013,25
High Point,2014,21
High Point,2015,8
High Point,2016,6
High Point,2017,18
High Point,2018,15
High Point,2019,16
High Point,2020,10
High Point,2021,2
High Point,2022,1
Hills Park,2009,97
Hills Park,2010,49
Hills Park,2011,71
Hills Park,2012,43
Hills Park,2013,47
Hills Park,2014,40
Hills Park,2015,64
Hills Park,2016,87
Hills Park,2017,101
Hills Park,2018,81
Hills Park,2019,70
Hills Park,2020,54
Hills Park,2021,40
Hills Park,2022,4
Home Park,2009,477
Home Park,2010,351
Home Park,2011,325
Home Park,2012,333
Home Park,2013,423
Home Park,2014,448
Home Park,2015,386
Home Park,2016,461
Home Park,2017,429
Home Park,2018,415
Home Park,2019,408
Home Park,2020,487
Home Park,2021,458
Home Park,2022,93
Horseshoe Community,2009,1
Horseshoe Community,2010,1
Horseshoe Community,2011,4
Horseshoe Community,2012,4
Horseshoe Community,2013,1
Horseshoe Community,2014,1
Horseshoe Community,2015,3
Horseshoe Community,2016,3
Horseshoe Community,2017,2
Horseshoe Community,2018,3
Horseshoe Community,2019,2
Horseshoe Community,2020,1
Horseshoe Community,2021,1
Hunter Hills,2009,169
Hunter Hills,2010,225
Hunter Hills,2011,216
Hunter Hills,2012,197
Hunter Hills,2013,159
Hunter Hills,2014,146
Hunter Hills,2015,144
Hunter Hills,2016,195
Hunter Hills,2017,138
Hunter Hills,2018,126
Hunter Hills,2019,113
Hunter Hills,2020,93
Hunter Hills,2021,77
Hunter Hills,2022,19
Huntington,2009,6
Huntington,2010,8
Huntington,2011,3
Huntington,2012,4
Huntington,2013,3
Huntington,2014,4
Huntington,2015,4
Huntington,2016,3
Huntington,2017,3
Huntington,2018,3
Huntington,2020,2
Huntington,2021,2
Inman Park,2009,406
Inman Park,2010,317
Inman Park,2011,330
Inman Park,2012,313
Inman Park,2013,329
Inman Park,2014,403
Inman Park,2015,398
Inman Park,2016,426
Inman Park,2017,362
Inman Park,2018,335
Inman Park,2019,425
Inman Park,2020,348
Inman Park,2021,371
Inman Park,2022,82
Ivan Hill,2009,7
Ivan Hill,2010,6
Ivan Hill,2011,2
Ivan Hill,2012,8
Ivan Hill,2013,4
Ivan Hill,2014,4
Ivan Hill,2015,11
Ivan Hill,2016,8
Ivan Hill,2017,11
Ivan Hill,2018,3
Ivan Hill,2019,1
Ivan Hill,2020,1
Ivan Hill,2022,1
Joyland,2009,47
Joyland,2010,75
Joyland,2011,37
Joyland,2012,55
Joyland,2013,59
Joyland,2014,87
Joyland,2015,57
Joyland,2016,44
Joyland,2017,36
Joyland,2018,40
Joyland,2019,16
Joyland,2020,20
Joyland,2021,16
Joyland,2022,7
Just Us,2009,7
Just Us,2010,4
Just Us,2011,9
Just Us,2012,12
Just Us,2013,12
Just Us,2014,3
Just Us,2015,8
Just Us,2016,9
Just Us,2017,1
Just Us,2018,5
Just Us,2019,1
Just Us,2020,6
Just Us,2021,6
Kings Forest,2009,107
Kings Forest,2010,93
Kings Forest,2011,86
Kings Forest,2012,72
Kings Forest,2013,79
Kings Forest,2014,75
Kings Forest,2015,98
Kings Forest,2016,70
Kings Forest,2017,60
Kings Forest,2018,47
Kings Forest,2019,47
Kings Forest,2020,29
Kings Forest,2021,24
Kings Forest,2022,8
Kingswood,2009,9
Kingswood,2010,7
Kingswood,2011,12
Kingswood,2012,10
Kingswood,2013,7
Kingswood,2014,5
Kingswood,2015,7
Kingswood,2016,7
Kingswood,2017,2
Kingswood,2018,9
Kingswood,2019,3
Kingswood,2020,8
Kingswood,2021,4
Kingswood,2022,1
Kirkwood,2009,625
Kirkwood,2010,369
Kirkwood,2011,321
Kirkwood,2012,385
Kirkwood,2013,442
Kirkwood,2014,274
Kirkwood,2015,207
Kirkwood,2016,171
Kirkwood,2017,161
Kirkwood,2018,123
Kirkwood,2019,151
Kirkwood,2020,159
Kirkwood,2021,183
Kirkwood,2022,27
Knight Park/Howell Station,2009,75
Knight Park/Howell Station,2010,47
Knight Park/Howell Station,2011,72
Knight Park/Howell Station,2012,39
Knight Park/Howell Station,2013,42
Knight Park/Howell Station,2014,36
Knight Park/Howell Station,2015,38
Knight Park/Howell Station,2016,41
Knight Park/Howell Station,2017,37
Knight Park/Howell Station,2018,23
Knight Park/Howell Station,2019,20
Knight Park/Howell Station,2020,34
Knight Park/Howell Station,2021,30
Knight Park/Howell Station,2022,4
Lake Claire,2009,128
Lake Claire,2010,39
Lake Claire,2011,55
Lake Claire,2012,94
Lake Claire,2013,62
Lake Claire,2014,58
Lake Claire,2015,70
Lake Claire,2016,37
Lake Claire,2017,52
Lake Claire,2018,47
Lake Claire,2019,80
Lake Claire,2020,37
Lake Claire,2021,24
Lake Claire,2022,3
Lake Estates,2009,5
Lake Estates,2010,2
Lake Estates,2011,9
Lake Estates,2012,6
Lake Estates,2013,1
Lake Estates,2014,1
Lake Estates,2015,2
Lake Estates,2016,4
Lake Estates,2017,1
Lake Estates,2018,2
Lake Estates,2019,1
Lake Estates,2020,1
Lakewood,2009,97
Lakewood,2010,107
Lakewood,2011,94
Lakewood,2012,78
Lakewood,2013,60
Lakewood,2014,44
Lakewood,2015,64
Lakewood,2016,65
Lakewood,2017,47
Lakewood,2018,41
Lakewood,2019,22
Lakewood,2020,45
Lakewood,2021,30
Lakewood,2022,7
Lakewood Heights,2009,367
Lakewood Heights,2010,393
Lakewood Heights,2011,380
Lakewood Heights,2012,308
Lakewood Heights,2013,341
Lakewood Heights,2014,297
Lakewood Heights,2015,264
Lakewood Heights,2016,286
Lakewood Heights,2017,316
Lakewood Heights,2018,259
Lakewood Heights,2019,240
Lakewood Heights,2020,226
Lakewood Heights,2021,224
Lakewood Heights,2022,66
Laurens Valley,2009,12
Laurens Valley,2010,6
Laurens Valley,2011,14
Laurens Valley,2012,4
Laurens Valley,2013,9
Laurens Valley,2014,13
Laurens Valley,2015,10
Laurens Valley,2016,12
Laurens Valley,2017,5
Laurens Valley,2018,7
Laurens Valley,2019,4
Laurens Valley,2020,1
Laurens Valley,2021,5
Laurens Valley,2022,1
Leila Valley,2009,67
Leila Valley,2010,59
Leila Valley,2011,50
Leila Valley,2012,70
Leila Valley,2013,55
Leila Valley,2014,61
Leila Valley,2015,66
Leila Valley,2016,42
Leila Valley,2017,50
Leila Valley,2018,41
Leila Valley,2019,46
Leila Valley,2020,49
Leila Valley,2021,47
Leila Valley,2022,11
Lenox,2009,794
Lenox,2010,645
Lenox,2011,569
Lenox,2012,546
Lenox,2013,550
Lenox,2014,522
Lenox,2015,624
Lenox,2016,517
Lenox,2017,520
Lenox,2018,457
Lenox,2019,454
Lenox,2020,280
Lenox,2021,239
Lenox,2022,70
Lincoln Homes,2009,62
Lincoln Homes,2010,42
Lincoln Homes,2011,44
Lincoln Homes,2012,30
Lincoln Homes,2013,23
Lincoln Homes,2014,31
Lincoln Homes,2015,33
Lincoln Homes,2016,38
Lincoln Homes,2017,33
Lincoln Homes,2018,19
Lincoln Homes,2019,29
Lincoln Homes,2020,17
Lincoln Homes,2021,6
Lincoln Homes,2022,6
Lindbergh/Morosgo,2009,380
Lindbergh/Morosgo,2010,449
Lindbergh/Morosgo,2011,347
Lindbergh/Morosgo,2012,371
Lindbergh/Morosgo,2013,338
Lindbergh/Morosgo,2014,391
Lindbergh/Morosgo,2015,422
Lindbergh/Morosgo,2016,507
Lindbergh/Morosgo,2017,589
Lindbergh/Morosgo,2018,607
Lindbergh/Morosgo,2019,596
Lindbergh/Morosgo,2020,542
Lindbergh/Morosgo,2021,498
Lindbergh/Morosgo,2022,91
Lindridge/Martin Manor,2009,289
Lindridge/Martin Manor,2010,266
Lindridge/Martin Manor,2011,204
Lindridge/Martin Manor,2012,211
Lindridge/Martin Manor,2013,218
Lindridge/Martin Manor,2014,233
Lindridge/Martin Manor,2015,198
Lindridge/Martin Manor,2016,220
Lindridge/Martin Manor,2017,212
Lindridge/Martin Manor,2018,310
Lindridge/Martin Manor,2019,277
Lindridge/Martin Manor,2020,282
Lindridge/Martin Manor,2021,245
Lindridge/Martin Manor,2022,59
Loring Heights,2009,120
Loring Heights,2010,102
Loring Heights,2011,117
Loring Heights,2012,120
Loring Heights,2013,108
Loring Heights,2014,95
Loring Heights,2015,115
Loring Heights,2016,153
Loring Heights,2017,161
Loring Heights,2018,208
Loring Heights,2019,141
Loring Heights,2020,150
Loring Heights,2021,113
Loring Heights,2022,26
Magnum Manor,2009,11
Magnum Manor,2010,4
Magnum Manor,2011,15
Magnum Manor,2012,9
Magnum Manor,2013,12
Magnum Manor,2014,11
Magnum Manor,2015,13
Magnum Manor,2016,10
Magnum Manor,2017,10
Magnum Manor,2018,4
Magnum Manor,2019,5
Magnum Manor,2020,6
Magnum Manor,2021,7
Magnum Manor,2022,1
Margaret Mitchell,2009,14
Margaret Mitchell,2010,11
Margaret Mitchell,2011,14
Margaret Mitchell,2012,15
Margaret Mitchell,2013,13
Margaret Mitchell,2014,18
Margaret Mitchell,2015,13
Margaret Mitchell,2016,13
Margaret Mitchell,2017,6
Margaret Mitchell,2018,10
Margaret Mitchell,2019,11
Margaret Mitchell,2020,13
Margaret Mitchell,2021,5
Margaret Mitchell,2022,1
Marietta Street Artery,2009,173
Marietta Street Artery,2010,149
Marietta Street Artery,2011,167
Marietta Street Artery,2012,143
Marietta Street Artery,2013,127
Marietta Street Artery,2014,168
Marietta Street Artery,2015,219
Marietta Street Artery,2016,197
Marietta Street Artery,2017,143
Marietta Street Artery,2018,218
Marietta Street Artery,2019,157
Marietta Street Artery,2020,117
Marietta Street Artery,2021,163
Marietta Street Artery,2022,43
Mays,2009,56
Mays,2010,59
Mays,2011,53
Mays,2012,62
Mays,2013,79
Mays,2014,61
Mays,2015,81
Mays,2016,96
Mays,2017,63
Mays,2018,42
Mays,2019,32
Mays,2020,30
Mays,2021,43
Mays,2022,6
Meadowbrook Forest,2009,13
Meadowbrook Forest,2010,16
Meadowbrook Forest,2011,9
Meadowbrook Forest,2012,3
Meadowbrook Forest,2013,18
Meadowbrook Forest,2014,5
Meadowbrook Forest,2015,12
Meadowbrook Forest,2016,15
Meadowbrook Forest,2017,12
Meadowbrook Forest,2018,9
Meadowbrook Forest,2019,8
Meadowbrook Forest,2021,4
Mechanicsville,2009,423
Mechanicsville,2010,477
Mechanicsville,2011,528
Mechanicsville,2012,497
Mechanicsville,2013,602
Mechanicsville,2014,494
Mechanicsville,2015,425
Mechanicsville,2016,422
Mechanicsville,2017,430
Mechanicsville,2018,412
Mechanicsville,2019,330
Mechanicsville,2020,230
Mechanicsville,2021,322
Mechanicsville,2022,72
Mellwood,2009,6
Mellwood,2010,1
Mellwood,2011,10
Mellwood,2012,3
Mellwood,2013,4
Mellwood,2014,3
Mellwood,2015,2
Mellwood,2017,2
Mellwood,2018,4
Mellwood,2019,4
Mellwood,2020,2
Mellwood,2021,3
Memorial Park,2009,4
Memorial Park,2010,8
Memorial Park,2011,13
Memorial Park,2012,14
Memorial Park,2013,8
Memorial Park,2014,12
Memorial Park,2015,5
Memorial Park,2016,10
Memorial Park,2017,5
Memorial Park,2018,5
Memorial Park,2019,3
Memorial Park,2020,2
Memorial Park,2021,5
Memorial Park,2022,1
Midtown,2009,2223
Midtown,2010,1760
Midtown,2011,1705
Midtown,2012,1590
Midtown,2013,1800
Midtown,2014,1714
Midtown,2015,1518
Midtown,2016,1307
Midtown,2017,1402
Midtown,2018,1528
Midtown,2019,1669
Midtown,2020,1621
Midtown,2021,1496
Midtown,2022,367
Midwest Cascade,2009,38
Midwest Cascade,2010,52
Midwest Cascade,2011,33
Midwest Cascade,2012,27
Midwest Cascade,2013,33
Midwest Cascade,2014,21
Midwest Cascade,2015,18
Midwest Cascade,2016,32
Midwest Cascade,2017,35
Midwest Cascade,2018,12
Midwest Cascade,2019,10
Midwest Cascade,2020,10
Midwest Cascade,2021,14
Midwest Cascade,2022,1
Monroe Heights,2009,56
Monroe Heights,2010,49
Monroe Heights,2011,43
Monroe Heights,2012,85
Monroe Heights,2013,68
Monroe Heights,2014,34
Monroe Heights,2015,54
Monroe Heights,2016,54
Monroe Heights,2017,44
Monroe Heights,2018,23
Monroe Heights,2019,36
Monroe Heights,2020,23
Monroe Heights,2021,20
Monroe Heights,2022,3
Morningside/Lenox Park,2009,292
Morningside/Lenox Park,2010,270
Morningside/Lenox Park,2011,264
Morningside/Lenox Park,2012,285
Morningside/Lenox Park,2013,284
Morningside/Lenox Park,2014,221
Morningside/Lenox Park,2015,224
Morningside/Lenox Park,2016,270
Morningside/Lenox Park,2017,334
Morningside/Lenox Park,2018,316
Morningside/Lenox Park,2019,293
Morningside/Lenox Park,2020,224
Morningside/Lenox Park,2021,220
Morningside/Lenox Park,2022,57
Mozley Park,2009,160
Mozley Park,2010,141
Mozley Park,2011,149
Mozley Park,2012,218
Mozley Park,2013,120
Mozley Park,2014,126
Mozley Park,2015,109
Mozley Park,2016,119
Mozley Park,2017,103
Mozley Park,2018,105
Mozley Park,2019,96
Mozley Park,2020,80
Mozley Park,2021,64
Mozley Park,2022,12
Mt. Gilead Woods,2009,2
Mt. Gilead Woods,2010,6
Mt. Gilead Woods,2011,5
Mt. Gilead Woods,2012,2
Mt. Gilead Woods,2013,7
Mt. Gilead Woods,2014,3
Mt. Gilead Woods,2015,6
Mt. Gilead Woods,2016,7
Mt. Gilead Woods,2017,8
Mt. Gilead Woods,2018,3
Mt. Gilead Woods,2019,1
Mt. Gilead Woods,2020,2
Mt. Gilead Woods,2021,3
Mt. Gilead Woods,2022,1
Mt. Paran Parkway,2009,1
Mt. Paran Parkway,2010,3
Mt. Paran Parkway,2012,2
Mt. Paran Parkway,2013,2
Mt. Paran Parkway,2014,1
Mt. Paran Parkway,2015,1
Mt. Paran Parkway,2016,1
Mt. Paran Parkway,2017,1
Mt. Paran Parkway,2021,1
Mt. Paran/Northside,2009,34
Mt. Paran/Northside,2010,41
Mt. Paran/Northside,2011,22
Mt. Paran/Northside,2012,31
Mt. Paran/Northside,2013,40
Mt. Paran/Northside,2014,36
Mt. Paran/Northside,2015,35
Mt. Paran/Northside,2016,32
Mt. Paran/Northside,2017,21
Mt. Paran/Northside,2018,13
Mt. Paran/Northside,2019,9
Mt. Paran/Northside,2020,8
Mt. Paran/Northside,2021,13
Mt. Paran/Northside,2022,2
Niskey Cove,2009,6
Niskey Cove,2010,2
Niskey Cove,2011,6
Niskey Cove,2012,4
Niskey Cove,2013,6
Niskey Cove,2014,5
Niskey Cove,2015,6
Niskey Cove,2016,4
Niskey Cove,2017,2
Niskey Cove,2019,1
Niskey Cove,2020,1
Niskey Cove,2021,1
Niskey Lake,2009,11
Niskey Lake,2010,4
Niskey Lake,2011,4
Niskey Lake,2012,8
Niskey Lake,2013,8
Niskey Lake,2014,5
Niskey Lake,2015,1
Niskey Lake,2016,3
Niskey Lake,2017,4
Niskey Lake,2018,1
Niskey Lake,2019,2
Niskey Lake,2020,1
Niskey Lake,2021,2
North Buckhead,2009,581
North Buckhead,2010,592
North Buckhead,2011,433
North Buckhead,2012,543
North Buckhead,2013,540
North Buckhead,2014,493
North Buckhead,2015,427
North Buckhead,2016,544
North Buckhead,2017,477
North Buckhead,2018,536
North Buckhead,2019,483
North Buckhead,2020,375
North Buckhead,2021,363
North Buckhead,2022,81
Norwood Manor,2009,65
Norwood Manor,2010,52
Norwood Manor,2011,73
Norwood Manor,2012,61
Norwood Manor,2013,38
