neighborhood,occur_year,occur_count
Baker Hills,2010,36
Baker Hills,2011,41
Baker Hills,2012,29
Baker Hills,2013,23
Baker Hills,2014,22
Baker Hills,2015,22
Baker Hills,2016,28
Baker Hills,2017,30
Baker Hills,2018,27
Baker Hills,2019,16
Baker Hills,2020,20
Baker Hills,2021,7
Baker Hills,2022,1
Bakers Ferry,2009,8
Bakers Ferry,2010,9
Bakers Ferry,2011,7
Bakers Ferry,2012,14
Bakers Ferry,2013,8
Bakers Ferry,2014,10
Bakers Ferry,2015,9
Bakers Ferry,2016,5
Bakers Ferry,2017,5
Bakers Ferry,2018,8
Bakers Ferry,2019,5
Bakers Ferry,2020,5
Bakers Ferry,2021,2
Bankhead,2009,340
Bankhead,2010,309
Bankhead,2011,266
Bankhead,2012,269
Bankhead,2013,167
Bankhead,2014,170
Bankhead,2015,166
Bankhead,2016,177
Bankhead,2017,150
Bankhead,2018,117
Bankhead,2019,105
Bankhead,2020,114
Bankhead,2021,101
Bankhead,2022,28
Bankhead Courts,2009,12
Bankhead Courts,2010,3
Bankhead Courts,2011,6
Bankhead Courts,2012,2
Bankhead Courts,2013,3
Bankhead Courts,2015,1
Bankhead Courts,2016,3
Bankhead/Bolton,2009,49
Bankhead/Bolton,2010,51
Bankhead/Bolton,2011,39
Bankhead/Bolton,2012,32
Bankhead/Bolton,2013,25
Bankhead/Bolton,2014,36
Bankhead/Bolton,2015,18
Bankhead/Bolton,2016,25
Bankhead/Bolton,2017,24
Bankhead/Bolton,2018,19
Bankhead/Bolton,2019,32
Bankhead/Bolton,2020,17
Bankhead/Bolton,2021,35
Bankhead/Bolton,2022,13
Beecher Hills,2009,37
Beecher Hills,2010,53
Beecher Hills,2011,34
Beecher Hills,2012,29
Beecher Hills,2013,25
Beecher Hills,2014,35
Beecher Hills,2015,16
Beecher Hills,2016,21
Beecher Hills,2017,13
Beecher Hills,2018,14
Beecher Hills,2019,26
Beecher Hills,2020,13
Beecher Hills,2021,14
Beecher Hills,2022,2
Ben Hill,2009,81
Ben Hill,2010,88
Ben Hill,2011,72
Ben Hill,2012,61
Ben Hill,2013,89
Ben Hill,2014,70
Ben Hill,2015,77
Ben Hill,2016,79
Ben Hill,2017,34
Ben Hill,2018,50
Ben Hill,2019,48
Ben Hill,2020,32
Ben Hill,2021,29
Ben Hill,2022,10
Ben Hill Acres,2009,33
Ben Hill Acres,2010,19
Ben Hill Acres,2011,10
Ben Hill Acres,2012,16
Ben Hill Acres,2013,31
Ben Hill Acres,2014,27
Ben Hill Acres,2015,23
Ben Hill Acres,2016,32
Ben Hill Acres,2017,27
Ben Hill Acres,2018,20
Ben Hill Acres,2019,10
Ben Hill Acres,2020,13
Ben Hill Acres,2021,9
Ben Hill Acres,2022,4
Ben Hill Forest,2009,6
Ben Hill Forest,2010,9
Ben Hill Forest,2011,3
Ben Hill Forest,2012,6
Ben Hill Forest,2013,1
Ben Hill Forest,2014,3
Ben Hill Forest,2015,3
Ben Hill Forest,2016,3
Ben Hill Forest,2017,2
Ben Hill Forest,2018,3
Ben Hill Forest,2019,2
Ben Hill Forest,2020,1
Ben Hill Forest,2022,1
Ben Hill Pines,2009,18
Ben Hill Pines,2010,16
Ben Hill Pines,2011,16
Ben Hill Pines,2012,20
Ben Hill Pines,2013,23
Ben Hill Pines,2014,11
Ben Hill Pines,2015,15
Ben Hill Pines,2016,11
Ben Hill Pines,2017,7
Ben Hill Pines,2018,14
Ben Hill Pines,2019,6
Ben Hill Pines,2020,7
Ben Hill Pines,2022,1
Ben Hill Terrace,2009,50
Ben Hill Terrace,2010,44
Ben Hill Terrace,2011,48
Ben Hill Terrace,2012,33
Ben Hill Terrace,2013,28
Ben Hill Terrace,2014,36
Ben Hill Terrace,2015,56
Ben Hill Terrace,2016,39
Ben Hill Terrace,2017,32
Ben Hill Terrace,2018,28
Ben Hill Terrace,2019,30
Ben Hill Terrace,2020,28
Ben Hill Terrace,2021,41
Ben Hill Terrace,2022,8
Benteen Park,2009,99
Benteen Park,2010,81
Benteen Park,2011,40
Benteen Park,2012,34
Benteen Park,2013,68
Benteen Park,2014,53
Benteen Park,2015,42
Benteen Park,2016,47
Benteen Park,2017,40
Benteen Park,2018,38
Benteen Park,2019,37
Benteen Park,2020,39
Benteen Park,2021,25
Benteen Park,2022,12
Berkeley Park,2009,500
Berkeley Park,2010,454
Berkeley Park,2011,420
Berkeley Park,2012,487
Berkeley Park,2013,366
Berkeley Park,2014,397
Berkeley Park,2015,455
Berkeley Park,2016,394
Berkeley Park,2017,311
Berkeley Park,2018,502
Berkeley Park,2019,299
Berkeley Park,2020,239
Berkeley Park,2021,279
Berkeley Park,2022,41
Betmar LaVilla,2009,56
Betmar LaVilla,2010,46
Betmar LaVilla,2011,44
Betmar LaVilla,2012,30
Betmar LaVilla,2013,38
Betmar LaVilla,2014,49
Betmar LaVilla,2015,35
Betmar LaVilla,2016,38
Betmar LaVilla,2017,48
Betmar LaVilla,2018,34
Betmar LaVilla,2019,34
Betmar LaVilla,2020,21
Betmar LaVilla,2021,29
Betmar LaVilla,2022,3
Blair Villa/Poole Creek,2009,96
Blair Villa/Poole Creek,2010,71
Blair Villa/Poole Creek,2011,65
Blair Villa/Poole Creek,2012,53
Blair Villa/Poole Creek,2013,88
Blair Villa/Poole Creek,2014,78
Blair Villa/Poole Creek,2015,77
Blair Villa/Poole Creek,2016,62
Blair Villa/Poole Creek,2017,61
Blair Villa/Poole Creek,2018,70
Blair Villa/Poole Creek,2019,54
Blair Villa/Poole Creek,2020,41
Blair Villa/Poole Creek,2021,38
Blair Villa/Poole Creek,2022,4
Blandtown,2009,116
Blandtown,2010,106
Blandtown,2011,127
Blandtown,2012,144
Blandtown,2013,154
Blandtown,2014,171
Blandtown,2015,166
Blandtown,2016,247
Blandtown,2017,271
Blandtown,2018,240
Blandtown,2019,231
Blandtown,2020,167
Blandtown,2021,179
Blandtown,2022,55
Bolton,2009,152
Bolton,2010,112
Bolton,2011,115
Bolton,2012,79
Bolton,2013,94
Bolton,2014,75
Bolton,2015,97
Bolton,2016,100
Bolton,2017,128
Bolton,2018,113
Bolton,2019,134
Bolton,2020,125
Bolton,2021,82
Bolton,2022,28
Bolton Hills,2009,16
Bolton Hills,2010,14
Bolton Hills,2011,15
Bolton Hills,2012,13
Bolton Hills,2013,11
Bolton Hills,2014,8
Bolton Hills,2015,7
Bolton Hills,2016,1
Bolton Hills,2017,8
Bolton Hills,2018,3
Bolton Hills,2019,6
Bolton Hills,2020,2
Bolton Hills,2021,2
Bolton Hills,2022,5
Boulder Park,2009,7
Boulder Park,2010,15
Boulder Park,2011,7
Boulder Park,2012,9
Boulder Park,2013,3
Boulder Park,2014,4
Boulder Park,2015,5
Boulder Park,2016,7
Boulder Park,2017,6
Boulder Park,2018,3
Boulder Park,2019,6
Boulder Park,2020,1
Boulder Park,2021,2
Boulevard Heights,2009,61
Boulevard Heights,2010,40
Boulevard Heights,2011,29
Boulevard Heights,2012,30
Boulevard Heights,2013,37
Boulevard Heights,2014,48
Boulevard Heights,2015,24
Boulevard Heights,2016,24
Boulevard Heights,2017,43
Boulevard Heights,2018,43
Boulevard Heights,2019,16
Boulevard Heights,2020,26
Boulevard Heights,2021,26
Boulevard Heights,2022,6
Brandon,2009,39
Brandon,2010,32
Brandon,2011,36
Brandon,2012,41
Brandon,2013,32
Brandon,2014,22
Brandon,2015,34
Brandon,2016,24
Brandon,2017,12
Brandon,2018,16
Brandon,2019,11
Brandon,2020,15
Brandon,2021,11
Brandon,2022,3
Brentwood,2009,6
Brentwood,2010,8
Brentwood,2011,6
Brentwood,2012,7
